id;active;abandoned;net_score;net_questions;net_weight;time
1;true;true;25588;15672;32044;2020-12-15T15:13:38
2;true;true;87695;86157;56036;2020-12-15T04:52:30
3;true;true;68120;7046;85293;2020-12-15T06:51:15
4;true;true;56591;3406;31401;2020-12-14T17:23:15
5;false;false;57056;9596;12500;2020-12-15T09:11:33
6;false;false;2422;15453;91157;2020-12-14T23:17:18
7;false;false;76950;83824;12322;2020-12-15T07:45:04
8;false;true;78213;7947;80955;2020-12-15T14:24:56
9;true;false;87902;27132;46999;2020-12-15T06:14:37
10;true;false;9153;52938;85147;2020-12-15T13:54:50
